293,당신 천재일까요
294,Kqher
295,gnghldhkqkstjd
296,겨울레몬
297,레전드오브롤1244
298,비둘기 도브
299,Chancedong
300,05 의진
301,daoxinwengu
302,이기고싶댜아
303,zzz163
304,기술 카드 카
305,FIORAKlNG
306,DK Rahel
307,Permaban11919215
308,나에게솔직해지기
309,nainiaqysama
310,Huge Canyon1
311,wybabe
312,YC1
313,이도류
314,누쇤팍
315,방송인 손주녁
316,Indexy
317,Hifgsibsap
318,Rumbon
319,댕청한남자
320,유상증자
321,03 FA AD
322,킬러톱
323,에이 R 티
324,오늘도 난 죽는다
325,anyaa
326,조관우급 늪 설치
327,Xbm
328,WBG Easyhoon
329,Epilogue for you
330,어디료든 문
331,계속걸어가다
332,tripup
333,Permaban11920329
334,Like 1999
335,소년가장 원딜
336,XiaoHuaSheng7
337,Honpi
338,zhao020708
339,sadasdsa
340,vsdfvdsg
341,ucal3
342,T1 Minous
343,Gen G Zest
344,linyeeyunlin
345,pzxvp
346,JackeyLove7
347,Advancement
348,Lehends
349,기묘기묘
350,HLE OnFleek
351,봄을고하다 
352,Juhana
353,opasdwqexz
354,dbfld2
355,ISFP22
356,블 미
357,아만대표리퍼
358,qweiowqeo
359,DS Neolux
360,프로연락친추주셍
361,경자고 김우민
362,yin zhi zi
363,메로나마싯에
364,happy   game 
365,ScrubNoob
366,이끌어가는자
367,Thanatos
368,Bei Lian
369,다없수질
370,골목대장 태훈이
371,FiddleStick
372,04 12 2003
373,6zc
374,xingye1
375,lilpaaaaaaaaaa
376,매사에 침착하게
377,현기증나는사람
378,DRX Taeyoonn
379,DK Sharvel
380,FPX q2380023065e
381,DK Saint1
382,신상공원
383,강하다 별
384,셀 나
385,Reve Bonheur Toi
386,We love Young
387,Gen G MilliM
388,어디 가 다들
389,Abyss12
390,4006114
391,Seven
392,Neth3rworld
393,독기품기
394,ouououo11
395,이상한서폿다훈갓
396,푸린송
397,FPX Summ1t
398,자크헤카림
399, Paratus1
400,Destiny
401,DK Thumb
402,YAMANGZZ
403,I risk my life
404,WHYSJ
405,가민준
406,농심 블레싱
407,아침흙한톨
408,살퀸레
409,zha hi ia
410,KDF CALLME
411,현누사
412,EveryD EveryM
413,젱 글
414,백두산이동해물과
415,허구한 날 디짐
416,lnferno
417,카정갑니다 슈웃
418,mfqdemama
419,읽씹맨
420,할 말은 하는사람
421,Fisherr
422,morpbip
423,bababaabam
424,몸개그 장인
425,푸딩푸딩푸디잉
426,fcczz
427,Castlng
428,xxxxxxm
429,신 격
430,DEULDEUL
431,DRX 오형석
432,그레이검
433,엉덩국 갱승제로
434,큐 지
435,전호빗
436,이 쁜 채 팅
437,데바데 너스
438,Puppie
439,kismets
440,한달안에챌까지
441,zao shui zao qi 
442,난세의 히나타
443,숟인데요
444,melody1
445,UP 1498187796
446,Ennn
447,당당하고매력있어
448,msnhb
449,j1j1j1j1j1
450,Gen G Delete
451,지존언딜
452,cheon2
453,이기고싶어요오
454,완벽한세상1
455,zxcasasass
456,lsylsy
457,IlIlIlIIIlIIlll
458,dan xiao pa hei2
459,ME 1vs5 LOOK
460,FATE
461,사코고수
462,tswmyy
463,abc1112
464,물방울석
465,Pizano
466,아프리카TV 짝강
467,Permaban11914296
468,sakura83
469,마포 고등학
470,매일 어떻게 잘해
471,그리즈
472,초보강아지
473,FA Arad
474,fenglingyuxiu
475,pinz
476,손민재군대가자
477,동북 군벌
478,한윈터
479,future uncertain
480,2345678
481,허사피피
482,교육잘받은도구
483,canwincanwin1
484,as69
485,gnaixnay
486,새벽 야생 너구리
487,To my 별
488,ccdr
489,심술부리기
490,ban zhi hu li
491,twtv soodangkim
492, axsczsdasd
493,거북이의마음으로
494,턱 발로 걷어차기
495,다의미가없어요
496,하고픈말이참많아
497,SnowFlow2r
498,Permaban11917697
499,051z
500,zzzex
501,Xlim4
502,SLOW Shiba64
503,Permaban11919143
504,경이희하다
505,도구는 툴툴
506,woshilazhu
507,AlphaGo test 06
508,MDtv5327129
509,yiqunIanzi
510,chuchuIsland
511,늘 완벽하게 노력
512,Azhy
513,small champ pool
514,langmanbusi
515,버즈스타일
516,빡쳐요
517,sry king
518,NOVA CHECK1
519,J god3
520,eight8
521,노정택
522,Oh Lovely
523,ZED99
524,지훈백크
525,gannijma
526,COCG
527,정글몸 야미
528,양념형
529,Gen G Punch
530,빙산의 일 각
531,토마토기러기영우
532,초이통통
533,yyzx
534,초음파받아랏oOoO
535,TwitchTV 이현2
536,웃으니까행복하다
537,qawezxcv
538,SMB suzhifen
539,Feistyy
540,영원하지않아
541,RengarKlng
542,왜 이렇게 쉽지 
543,Dol Tv 5327129
544,Smydmzcnbbzdn
545,Pinkocean1
546,men xin
547,청포도육포
548,mogubaby3
549,DRX 박석현
550,wish for a moon
551,Permaban11918042
552,한국한량
553,미드는 쿠쿠다스
554,qianye
555,LSB Vincenzo
556,2수연
557,gongjianshou98
558,satanzz
559,카사돌
560,준 받
561,여긴 Party time
562,릴 펌
563,이겨보자아
564,qweafdzdddgasdf
565,big devil zero
566,한화생명 정글
567,x눈덩이
568,릴리아만큼잘재움
569,므라기
570,가자엔에이
571,lyh7
572,승승웅
573,NS Chelly
574,Permaban11918659
575,절대지기싫다
576,Nobody Knows Me
577,YeGod
578,Fakerfannss
579,아빠나죽일거야
580,듀스1
581,정흠이
582,스물다섯번째밤
583,사냥꾼
584,FA Coach Ella
585,아프다8
586,행운의 게임
587,나도모르는사이에
588,장수열
589,CREE
590,Jigokuraku
591,jkjkjkjkk
592,xiaozhewanc
593,Sylas King
594,Griffith
595,표견비식호표
596,불멸의무빙
597,입 헤이 화
598,1도인비 1
599,stupid pig
600,Permaban11918620
601,07 JGL
602,lajigame9
603,몽이의 간식
604,Shadow Monarca
605,Imagine Legends
606,asdsdfdghdfgh
607,질수없다 아직은
608,Thezio1
609,버리기 장인
610,좋아해요1
611,손주녁
612,시체가말하고있어
613,DK 어니언
614,늘아침햇살으
615,kuzhongzuole
616,견 백
617,00 동현
618,HLE Rooster
619,해야 할건 해야
620,Artist JaeHK
621,Beau Voyage
622,11baby
623,qqwwud
624,Argentina1
625,CFHWPO
626,No I Am Not Sry
627,Permaban11917618
628,Keyara
629,E SENS WTFRU
630,아이러브유
631,autumnK
632,FA KeumYoung
633,유튜브 재만
634,tezda
635,칸타타 최고원딜
636,yasaxi01
637,본체가지읏로보여
638,KhaNuguricoNLwX
639,황금고블린
640,러미리선생님
641,liuxuande
